"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"54","Normal/Others","WS/MP490/2024-2025/187266-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Road construction (pitch) in Nadesar Ward no. 34 from S 17-314 D Nadesar to S 17-314-A-G Nadesar. Length 38 m","Shri Narendra Modi","VARANASI","Images","30-Sep-2025","203668"
"55","Normal/Others","WS/MP490/2024-2025/187268-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Road construction in jagatganj Ward no. 61 Lacchipura Colony Nadesar, pitch. Length 63 m","Shri Narendra Modi","VARANASI","Images","30-Sep-2025","297006"
"56","Normal/Others","WS/MP490/2024-2025/187267-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Road construction (pitch) in Nadesar Ward no. 34 from S 21 Englishia Line Hanuman Mandir to Phool Mandi. Length 470 m","Shri Narendra Modi","VARANASI","Images","09-Oct-2025","783638"
"57","Normal/Others","WS/MP490/2024-2025/187456-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Renew stone in Katuapura ward no. 81 in the lane from K 46-51 to K 46-38, Length 235.10 m","Shri Narendra Modi","VARANASI","Images","10-Oct-2025","575486"
"58","Normal/Others","WS/MP490/2025-2026/241033-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Mr Govind Kumar Pandey house No 546ASR to Mr Suresh Singh house in Singh Basti in Ramrepur Ward No 59 Length 54 m","Shri Narendra Modi","VARANASI","Images","15-Oct-2025",""
"59","Normal/Others","WS/MP490/2024-2025/187269-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Ramarepur ward no. 59 from Naveen Pandey to Dr Udham Singh House No. MN 3-816 in Vivekanand Nagar Colony to  Brijesh Pandey to Khajati Ram house no. 3-118-1. Length 102 m","Shri Narendra Modi","VARANASI","Images","15-Oct-2025","526988"
"60","Normal/Others","WS/MP490/2024-2025/187422-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking in Pahariya ward no. 46 in closed lane in Sarang Talab Pahadia Road from Nam Verma jis house to Ajay Shrivastava and Pintu Jaiswals house in Gayatri School lane. length 284.40 m","Shri Narendra Modi","VARANASI","Images","15-Oct-2025","870486"
"61","Normal/Others","WS/MP490/2024-2025/187270-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Ramarepur ward no. 59 from Deepak Singhs house in Bhakti Nagar Colony lane no. 7B to Jai Prakash Shahi to Dhananjay Singh house no. 3-160 via Ramdhani Patels house","Shri Narendra Modi","VARANASI","Images","16-Oct-2025","1539782"
"62","Normal/Others","WS/MP490/2024-2025/187547-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","CC road construction work in Gram Sabha Parmanandpur from Gulab Patels house to Jawahar Lals house in Parmanandpur. Length 150 m.","Shri Narendra Modi","VARANASI","Images","29-Oct-2025","918040"
"63","Normal/Others","WS/MP490/2024-2025/187512-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Anantpur Gram from Sabhai Lalman Baba school to Sanjay Pandeys house. Length 100 m.","Shri Narendra Modi","VARANASI","Images","06-Nov-2025","598142"
"64","Normal/Others","WS/MP490/2024-2025/187481-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking from Sarhari Village via Sachins house to Amits house. Length 110 m.","Shri Narendra Modi","VARANASI","Images","06-Nov-2025","561916"
"65","Normal/Others","WS/MP490/2024-2025/187479-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking from Ring Road Anantpur Marg to Lord Parshurams temple.Length 80 m.","Shri Narendra Modi","VARANASI","Images","19-Nov-2025","438016"
"66","Normal/Others","WS/MP490/2025-2026/241297-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Gram Sabha Narsada, Block Arazilines Rajatalab Jakhini Pitch Road to Shivshankar Singh Pateljis house. Length 185.00 m","Shri Narendra Modi","VARANASI","Images","24-Jan-2026","880786"
"67","Normal/Others","WS/MP490/2025-2026/241298-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Basant Rajbhars house to Shivchander Patels house in Gram Sabha Shahanshahpur, Block Arazilines. Length 80.00 m","Shri Narendra Modi","VARANASI","Images","28-Jul-2026","362393"
"68","Normal/Others","WS/MP490/2025-2026/241300-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Mungwar Link Road to Lallu Singhs farm in Gram Sabha Krishnadattpur, Block Arazilines. Length 160.00 m","Shri Narendra Modi","VARANASI","Images","24-Feb-2026","562125"
"69","Normal/Others","WS/MP490/2025-2026/241301-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Ramu Patels house to Rinku Pathaks house in Gram Sabha Veersinghpur, Block Arazilines. Length 93.00 m","Shri Narendra Modi","VARANASI","Images","24-Jan-2026","432790"
