"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"50","Normal/Others","WS/MP490/2025-2026/241232-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Dashrath Pal Interlocking work from Somnath Patel house to Rambali Patel house in Gram Sabha Gangpur Sherpur Block Arazilines Length 156 m","10-Oct-2025","15-Oct-2025","749000","Sanction"
"51","Normal/Others","WS/MP490/2025-2026/241233-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Pintu Pradhan house to La Singh house in Gram Sabha Jagardeopur Block Arazilines Length 90 m","10-Oct-2025","15-Oct-2025","533000","Physical Inspection"
"52","Normal/Others","WS/MP490/2025-2026/241234-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Gram Sabha Tarapur main road to Ramsajivan house in Gram Sabha Akhri Block Kashi Vidyapeeth Length 72 m","10-Oct-2025","15-Oct-2025","355000","Physical Inspection"
"53","Normal/Others","WS/MP490/2025-2026/241235-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Chunar Road to Amitesh Tiwari house in Gram Sabha Akhri Block Kashi Vidyapeeth Length 96 m","10-Oct-2025","15-Oct-2025","980000","Physical Inspection"
"54","Normal/Others","WS/MP490/2025-2026/241236-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Rajendra Prasad Harijan house to Nandlal Upadhyay garden in Gram Sabha Milkichak Block Arazilines Length 95 m","10-Oct-2025","15-Oct-2025","552000","Physical Inspection"
"55","Normal/Others","WS/MP490/2025-2026/241237-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Pandit ji gate to Devan house in Gram Milkichak Block Arazilines Length 45 m","10-Oct-2025","15-Oct-2025","233000","Physical Inspection"
"56","Normal/Others","WS/MP490/2025-2026/241238-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from pitch road to Rajendra house via Sanju Devis house in village Payagpur Block Arazilines Length 76 m","10-Oct-2025","15-Oct-2025","389000","Sanction"
"57","Normal/Others","WS/MP490/2025-2026/241239-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from interlocking road to Jatashankar Singh house in village Jagardeopur Block Arazilines Length 48 m","10-Oct-2025","15-Oct-2025","232000","Physical Inspection"
"58","Normal/Others","WS/MP490/2025-2026/241240-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from block Kashi Vidyapeeth village Tikri main road to Swami Vitarganand Bharti Shishu Mandir Length 163 m","10-Oct-2025","15-Oct-2025","1097000","Physical Inspection"
"59","Normal/Others","WS/MP490/2025-2026/241241-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Rakesh Keshari house to America Singhs house in Gram Sabha Lathia Block Kashi Vidyapeeth Length 200 m","10-Oct-2025","15-Oct-2025","1050000","Physical Inspection"
